id,name,date,category,amount,currency,shop
1,1st shop,29/04/18,food,39.41,EUR,MPREIS
2,kaution 3MM,28/04/18,accomodation,1134,EUR,misc
3,May rent,30/04/18,accomodation,389,EUR,misc
4,bus journey,29/04/18,travel,3,EUR,Innsbruck bus
